id,name,operator,region,country,city,opened,mw_capacity,acres,cooling_type,withdrawal_gal_yr,confidence,evap_pct,discharge_pct,water_source_type,water_source_detail,precip_in_yr,site_precip_af,withdrawal_af_yr,afperac,grid_mix_summary,onsite_gen_type,onsite_gen_role,notes
g-cb,Council Bluffs Campus,Google,USA-MW,USA,"Council Bluffs, IA",2009,400,1000,Evaporative towers,1400000000,M,71,29,Municipal surface,Council Bluffs Water Works (Missouri R. basin),33,2750,4296.4,4.30,~60% wind / 25% gas / 10% coal,Diesel generators,BACKUP,"Largest metered DC water user in dataset. 1.0B gal evap + 400M blowdown. Peak 2.7M gal/day summer 2024."
g-td,The Dalles Campus,Google,USA-PNW,USA,"The Dalles, OR",2006,,190,Evaporative towers,434400000,M,75,25,Municipal surface,City of The Dalles (Hood River / Mt. Hood watershed),16,253,1333.1,7.02,46% hydro / 47% unspecified (likely fossil),Diesel generators,BACKUP,"316% growth since 2012. Now 1/3 of city water for pop. ~16,200. Highest AF/ac in dataset."
ms-qcy,Columbia DC — Quincy,Microsoft,USA-PNW,USA,"Quincy, WA",2007,622,270,Adiabatic + QWRU closed-loop,,U,5,95,Reclaimed closed-loop,Quincy Water Reuse Utility (QWRU),8,180,,,">=66% hydro (Columbia R.) / wind / gas",Diesel generators,BACKUP,"QWRU saves 380M gal/yr. Near-zero WUE newest bldgs. 97% reduction in potable use post-2021."
ms-wdm,West Des Moines (5 campuses),Microsoft,USA-MW,USA,"West Des Moines, IA",2012,,300,Direct evaporative (~10%/yr),68500000,M,75,25,Municipal surface,WDM Water Works (Des Moines + Raccoon Rivers),37,925,210.2,0.70,~60% wind (MidAmerican),Diesel generators,BACKUP,"City #1 water user 2024. GPT-4 training. Peak July 2022: 11.5M gal/mo."
meta-alt,Altoona Campus,Meta,USA-MW,USA,"Altoona, IA",2013,1401,202,Evaporative + liquid (AI),52700000,M,75,25,Municipal surface,Des Moines River basin,38,646,161.7,0.80,100% wind PPAs (MidAmerican),Diesel generators,BACKUP,"5M+ sq ft. LLaMA AI training. 1.0M MWh/yr renewable."
sw-citadel,Citadel Campus (Tahoe Reno),Switch,USA-W,USA,"Storey County, NV",2017,650,2000,Proprietary air (PRIME),,U,5,95,Municipal (minimal),TRIC industrial water (minimal draw),10,1667,,,100% solar (179 MW Switch Station 1+2 owned),Self-owned solar (179 MW),PRIMARY,"Air-cooled by design. Near-zero water. Switch exited NV Energy grid."
vant-qcy,WA1 Campus (Quincy),Vantage,USA-PNW,USA,"Quincy, WA",2024,89,68,Indirect evap + air-cooled chiller,,U,5,95,Municipal minimal,GCPUD / Columbia R. basin,8,45,,,>=66% hydro (GCPUD),Diesel generators (EPA Tier II),BACKUP,"WUE≈0 design. Closed-loop. 89 MW across 3 buildings (WA11-13)."
ibm-bld,Boulder Campus DC,IBM,USA-W,USA,"Boulder, CO",1967,,500,Water economizer + hybrid air,,U,40,60,Municipal mixed,City of Boulder (~50% surface / 50% groundwater),20,833,,,"~35% wind / 30% gas / 15% coal (Xcel Energy)",Gasoline generators (48-hr reserve),BACKUP,"IBM oldest DC (1967 plant). LEED Silver 2008. Free cooling 63%/yr. 300k sq ft raised floor."
aws-blue,Project Blue (planned),AWS,USA-SW,USA,"Tucson, AZ",,600,290,TBD,,U,75,25,Municipal mixed,Tucson Water (Colorado R. CAP + groundwater),11,266,,,"~35% gas / 25% coal / 25% solar (TEP)",Diesel generators (expected),BACKUP,"Pre-operational. High water-stress region. At CB intensity would withdraw ~2,400 AF/yr."
eqx-ash,Ashburn Campus (DC1-15),Equinix,USA-E,USA,"Ashburn, VA",2000,450,160,Air + chilled water,84000000,E,70,30,Municipal surface,Loudoun Water (Goose Creek / Potomac R.),43,573,257.7,1.61,"~30% nuclear / 30% gas / 20% wind (Dominion)",Diesel generators,BACKUP,"World's largest DC hub (Data Center Alley). Virginia DCs consume 25%+ of state electricity."
qts-aurora,Aurora-Denver Campus,QTS,USA-W,USA,"Aurora, CO",2024,177,67,Hybrid,32000000,E,70,30,Municipal surface,Aurora Water (South Platte R.),14,78,98.1,1.46,"~35% wind / 30% gas / 15% coal (Xcel)",Diesel generators,BACKUP,"Will become Xcel CO's largest industrial customer."
dr-atl,Atlanta Campus (55 Allen),Digital Realty,USA-SE,USA,"Atlanta, GA",2001,90,35,Air + chilled water,16000000,E,70,30,Municipal surface,Atlanta city water (Chattahoochee R.),52,152,49.1,1.40,"~35% gas / 20% nuclear / 20% coal (GA Power)",Diesel generators,BACKUP,"Southeast colocation hub."
cyrus-cb,Council Bluffs Colo,CyrusOne,USA-MW,USA,"Council Bluffs, IA",2015,100,30,Hybrid air + evap,18000000,E,72,28,Municipal surface,Council Bluffs Water Works,33,83,55.2,1.84,"~60% wind (MidAmerican)",Diesel generators,BACKUP,"Adjacent to Google campus."
g-dub,Dublin Campus,Google,EUR-W,Ireland,Dublin,2011,500,400,Air economizer + evap,90000000,E,65,35,Municipal surface,Irish Water (River Liffey),30,1000,276.1,0.69,"~35% wind / 35% gas (EirGrid)",Diesel generators (EU-restricted),BACKUP,"Part of Dublin cluster consuming ~80% city electricity."
ms-dub,Dublin Grange Castle,Microsoft,EUR-W,Ireland,Dublin,2009,250,200,Air economizer,45000000,E,60,40,Municipal surface,Irish Water,30,500,138.1,0.69,"~35% wind / 35% gas",Diesel generators,BACKUP,"Azure EU West. Ireland power grid near capacity."
eqx-fr,Frankfurt Campus (FR1-8),Equinix,EUR-C,Germany,Frankfurt,1999,210,80,Air + chilled water,38000000,E,65,35,Municipal surface,Frankfurt Stadtentwässerung (Main R.),25,167,116.6,1.46,"~35% renewables / 25% gas / 15% coal (50Hertz)",Diesel generators,BACKUP,"Europe's largest DC hub. 42% of Frankfurt city electricity."
ix-ams,Amsterdam AMS1-9,Interxion,EUR-W,Netherlands,Amsterdam,2000,180,65,Chilled water + free cooling,33000000,E,65,35,Municipal surface,Waternet (Amsterdam),31,168,101.3,1.56,"~45% wind/solar / 30% gas / 5% nuclear",Diesel generators,BACKUP,"Netherlands proposed DC moratorium 2022. Canal heat exchange pilots."
g-fin,Hamina Finland Campus,Google,EUR-N,Finland,Hamina,2011,200,175,Seawater cooling,,U,10,90,Seawater (non-fresh),Gulf of Finland (seawater),26,379,,,"~30% hydro / 25% nuclear / 25% wind (Fingrid)",Diesel generators,BACKUP,"Former paper mill. Seawater cooling = near-zero freshwater. District heating reuse pilot."
ms-swe,Gavle Data Center,Microsoft,EUR-N,Sweden,Gavle,2021,120,110,Air economizer (near-zero water),,U,5,95,Municipal minimal,Municipal (minimal),22,202,,,"~45% hydro / 30% nuclear / 20% wind (Nord Pool)",Diesel generators,BACKUP,"Near-year-round air cooling. 100% renewable (Nordic hydro+wind)."
g-sg,Singapore Campus (Jurong),Google,APAC,Singapore,Singapore,2013,200,85,Chilled water + cooling tower,36000000,E,70,30,Municipal desalinated/recycled,PUB Singapore (NEWater + desalination),92,651,110.5,1.30,~95% natural gas (SPPG),Diesel generators,BACKUP,"Singapore imposed DC moratorium 2019-2021. Strict WUE limits (<0.2 m³/MWh) on resumption."
ms-sg,Singapore DC Campus,Microsoft,APAC,Singapore,Singapore,2014,100,40,Chilled water system,18000000,E,70,30,Municipal desalinated/recycled,PUB Singapore,92,307,55.2,1.38,~95% natural gas (SPPG),Diesel generators,BACKUP,"Azure Southeast Asia. Hot/humid = challenging for air cooling."
ali-hz,Hangzhou Data Center,Alibaba,APAC,China,Hangzhou,2015,300,150,Hybrid cooling tower + liquid,54000000,E,72,28,Municipal surface,Qiantang River municipal,56,700,165.7,1.10,"~40% coal / 25% hydro / 20% wind (State Grid)",Diesel generators,BACKUP,"Alibaba Cloud East China hub. PUE<1.3 mandated by government since 2022."
ntt-tok,Tokyo DC Campus (Shinjuku),NTT,APAC,Japan,Tokyo,2000,60,8,Air + chilled water (dense urban),11000000,E,65,35,Municipal surface,Tokyo Metropolitan Waterworks,61,41,33.7,4.22,"~40% gas / 25% nuclear (TEPCO)",Diesel generators,BACKUP,"Ultra-dense urban. Very small land footprint per MW. High seismic risk design requirements."
ms-uae,UAE DC Campus (du partnership),Microsoft,MEA,UAE,Dubai,2025,150,120,Adiabatic + district cooling,27000000,E,80,20,Municipal desalinated,DEWA desalinated water,4,40,82.8,0.69,~99% natural gas + small solar (DEWA),Diesel generators,BACKUP,"Extreme heat = high cooling load. Desalinated supply = high embodied energy in water."
g-chile,Cerrillos Campus (Santiago),Google,LATAM,Chile,Santiago,2023,200,90,Hybrid cooling tower + air,36000000,E,74,26,Municipal surface,Aguas Andinas (Maipo R.),13,98,110.5,1.23,"~30% solar / 25% hydro / 25% gas (CDEC-SIC)",Diesel generators,BACKUP,"First Google DC in South America. Water controversy during Chile drought."
aws-bra,Sao Paulo Region,AWS,LATAM,Brazil,Sao Paulo,2011,180,75,Chilled water + cooling tower,32000000,E,73,27,Municipal surface,SABESP (Guarapiranga / Cantareira),57,356,98.2,1.31,"~60% hydro / 20% wind / 10% gas (ONS)",Diesel generators,BACKUP,"AWS SA-East-1. São Paulo region faces periodic severe drought."
eqx-ny,New York Campus (NY1-11),Equinix,USA-E,USA,"New York, NY",2000,50,12,Air + chilled water (urban),9000000,E,65,35,Municipal surface,NYC DEP (Delaware/Catskill aqueducts),50,50,27.6,2.30,"~30% nuclear / 25% gas / 20% hydro (NYISO)",Diesel generators,BACKUP,"Dense urban colocation. Excellent fiber peering (NYIIX). Very small land footprint."
cs-den,CoreSite Denver Campus,CoreSite,USA-W,USA,"Denver, CO",2006,25,6,Air + partial evaporative,4500000,E,68,32,Municipal surface,Denver Water (South Platte R.),15,8,13.8,2.30,"~35% wind / 30% gas (Xcel)",Diesel generators,BACKUP,"Urban enterprise colocation. Moderate scale."
edge-node,Edge Node (generic US urban),Other,USA,USA,Various,2020,2,0.5,Air-cooled (100%),360000,E,5,95,Municipal,City-specific,,,1.1,2.20,US average: 40% gas / 20% coal / 20% renewables,UPS batteries + small diesel,BACKUP,"Representative edge/CDN node. Near-zero water. Often in carrier hotels."
dr-lon,London Campus (Sovereign House),Digital Realty,EUR-W,UK,London,2003,55,8,Air + chilled water,10000000,E,65,35,Municipal surface,Thames Water,24,16,30.7,3.84,"~30% gas / 25% wind / 20% nuclear (National Grid)",Diesel generators,BACKUP,"Dense urban London. UK grid rapidly decarbonizing."
yondr-irl,Yondr Dublin Campus,Yondr,EUR-W,Ireland,Dublin,2022,60,25,Adiabatic (low water),5000000,E,60,40,Municipal surface,Irish Water,30,63,15.3,0.61,"~35% wind / 35% gas (EirGrid)",Diesel generators,BACKUP,"Smaller hyperscale campus. Adiabatic reduces water vs. evap towers."
g-vir,Loudoun County Campus (Reston),Google,USA-E,USA,"Loudoun County, VA",2015,250,120,Chilled water + air,45000000,E,70,30,Municipal surface,Loudoun Water (Goose Creek / Potomac),43,430,138.1,1.15,"~30% nuclear / 30% gas / 15% wind (Dominion)",Diesel generators,BACKUP,"Northern Virginia cluster. Data Center Alley."
